x,y
0,9
0,84
0,143
0,167
0,173
0,233
0,259
0,276
0,298
0,311
0,329
0,338
0,356
0,398
0,439
0,463
0,470
0,491
0,498
0,550
0,567
0,587
0,592
0,598
0,606
0,628
0,635
0,690
0,696
0,849
0,858
0,883
1,431
3,272
3,393
3,435
3,561
4,159
4,228
6,184
8,85
8,211
8,337
8,378
8,464
8,569
8,630
9,130
9,205
9,283
11,14
11,226
10,327
10,565
11,640
14,162
14,168
14,262
14,313
14,507
14,713
14,719
15,125
15,509
16,644
19,299
20,329
20,338
23,198
20,578
21,646
20,651
23,229
22,362
23,84
25,240
24,374
25,136
25,328
26,400
25,662
25,713
25,720
26,275
26,560
26,603
29,604
30,725
31,690
31,751
32,73
33,524
33,598
34,617
35,730
36,208
36,697
37,734
39,429
39,90
40,347
40,0
40,252
40,492
41,287
41,342
42,682
42,686
42,707
43,319
43,811
44,69
44,438
45,628
46,330
47,341
48,557
48,629
48,5
48,642
48,667
48,711
48,713
49,503
49,657
51,208
52,341
52,195
52,367
53,825
54,55
54,508
54,725
54,730
55,617
55,758
56,111
58,55
58,385
61,49
60,318
61,662
62,509
65,621
65,741
65,747
67,129
67,305
69,194
70,182
70,40
70,708
72,252
72,318
71,631
71,753
73,245
74,311
75,130
75,713
75,894
77,220
76,396
76,587
76,611
76,759
78,582
79,91
78,170
79,347
78,641
79,415
81,354
81,764
82,134
82,497
82,742
82,768
82,771
82,899
83,42
83,518
83,774
85,217
84,300
84,448
85,572
85,600
86,361
86,405
87,6
87,136
87,328
87,568
87,582
88,304
88,471
88,509
88,749
90,276
90,342
89,600
90,284
91,502
93,262
92,719
92,752
92,792
93,268
93,650
94,141
94,186
94,229
94,334
94,753
94,900
95,874
96,305
98,875
98,203
99,46
99,124
100,302
99,464
99,655
99,657
100,724
99,881
102,393
101,449
100,798
102,598
102,826
104,662
104,758
104,793
106,249
105,571
105,708
107,141
110,570
110,701
110,747
110,803
111,510
111,526
111,730
111,740
111,906
113,265
112,694
112,827
113,56
114,509
117,394
116,877
117,692
117,764
118,199
119,679
121,330
120,516
120,768
121,9
122,82
121,426
121,679
122,167
122,769
122,835
123,56
124,406
124,885
126,199
126,470
126,832
127,322
127,340
128,693
129,521
129,820
130,818
133,68
134,373
133,471
136,9
135,655
135,816
136,775
138,89
139,203
137,420
138,611
138,324
138,537
140,261
141,340
144,206
143,821
144,174
144,776
144,844
144,848
145,62
145,335
146,651
149,303
149,307
149,334
149,877
151,160
150,239
151,371
