x[mm],y[mm]
1.600000000000000000e+02,5.977131082798580186e-01
1.600000000000000000e+02,0.000000000000000000e+00
1.589664955163496245e+02,0.000000000000000000e+00
1.552480069915258980e+02,1.573490565092967586e+00
1.573971564044071556e+02,1.575079153238320373e+00
1.583080817766354755e+02,0.000000000000000000e+00
1.552491700695527470e+02,0.000000000000000000e+00
1.595435543019083298e+02,5.299103717550778470e+00
1.600000000000000000e+02,5.299441108803930156e+00
1.359056622755948638e+02,1.559193271784792501e+00
1.391280106372266800e+02,3.422794142086374336e+00
1.402039611013573221e+02,1.562370448075498075e+00
1.393034652568873639e+02,0.000000000000000000e+00
1.359068147854822826e+02,0.000000000000000000e+00
1.488005587528822105e+02,1.568724800656923435e+00
1.515223139778075279e+02,0.000000000000000000e+00
1.460880799856717545e+02,0.000000000000000000e+00
1.445022599271197805e+02,1.565547624366203650e+00
1.454076728706756398e+02,0.000000000000000000e+00
1.487978072375022123e+02,5.291160776824014533e+00
1.509469566503834130e+02,5.292749364969367321e+00
1.520201555991340285e+02,7.154761647125596369e+00
1.552452554761458714e+02,5.295926541260072895e+00
1.584676038377776877e+02,7.159527411561654731e+00
1.326805623985829925e+02,3.418028377650315974e+00
1.337537613473335796e+02,5.280040659806545023e+00
1.359029107602148088e+02,5.281629247944053418e+00
1.359001592448347537e+02,9.004065224119003119e+00
1.391225076064665700e+02,1.086766609442058495e+01
1.401984580705971837e+02,9.007242400409708694e+00
1.423476074834784413e+02,9.008830988550741381e+00
1.423503589988584963e+02,5.286395012387956172e+00
1.455754588758703676e+02,3.427559906522432698e+00
1.444967568963596705e+02,9.010419576700414268e+00
1.455699558451102575e+02,1.087243185885664332e+01
1.487950557221221288e+02,9.013596752991119843e+00
1.520174040837539451e+02,1.087719762329270168e+01
1.530933545478845872e+02,9.016773929281825417e+00
1.552397524453857613e+02,1.274079849358922445e+01
1.552370009300057063e+02,1.646323446976138882e+01
1.573861503428869639e+02,1.646482305790674161e+01
1.595380512711482481e+02,1.274397566988498909e+01
1.584648523223976611e+02,1.088196338772876004e+01
1.600000000000000000e+02,9.997157798873422152e+00
1.584621008070176060e+02,1.460439936389586535e+01
1.600000000000000000e+02,1.549382221730342835e+01
1.144141681467825435e+02,1.543307390331264628e+00
1.165633175596637727e+02,1.544895978502879075e+00
1.165605660442837177e+02,5.267331954643722725e+00
1.197829144059155340e+02,7.130932824945332982e+00
1.208588648700461761e+02,5.270509130934428299e+00
1.230080142829274052e+02,5.272097719080463207e+00
1.230107657983074603e+02,1.549661742912675777e+00
1.256994464030084089e+02,0.000000000000000000e+00
1.135246595840438744e+02,0.000000000000000000e+00
1.273090646240699186e+02,1.552838919203381352e+00
1.262331141599392765e+02,3.413262613214257613e+00
1.294554625215710928e+02,5.276863483512258313e+00
1.294527110061910378e+02,8.999299459682944757e+00
1.316018604190722954e+02,9.000888047828325966e+00
1.264140624204656262e+02,0.000000000000000000e+00
1.326750593678228825e+02,1.086290032998452659e+01
1.294499594908109827e+02,1.272173543586204403e+01
1.294472079754309561e+02,1.644417141201715538e+01
1.315963573883121853e+02,1.644576000016250816e+01
1.326723078524428274e+02,1.458533630615163190e+01
1.358946562140746721e+02,1.644893717645321374e+01
1.391197560910865150e+02,1.459010207058769026e+01
1.380465571423359279e+02,1.272808978843146122e+01
1.423448559680984147e+02,1.273126696469653041e+01
1.423421044527183597e+02,1.645370294088927210e+01
1.444912538655995604e+02,1.645529152903462489e+01
1.455644528143501759e+02,1.831730381119085393e+01
1.487895526913620188e+02,1.645846870533232220e+01
1.487923042067420738e+02,1.273603272915822515e+01
1.509414536196233030e+02,1.273762131730357794e+01
1.466376517631007346e+02,2.017931609334708298e+01
1.509359505888631929e+02,2.018249326963778856e+01
1.520119010529938350e+02,1.832206957562691230e+01
1.552342494146256513e+02,2.018567044592849413e+01
1.584593492916375226e+02,1.832683534006297066e+01
1.552314978992455963e+02,2.390810642209559944e+01
1.573806473121268255e+02,2.390969501024095223e+01
1.584538462608774125e+02,2.577170729239718128e+01
1.600000000000000000e+02,2.488055819347092523e+01
1.015192716694951969e+02,1.533775861459147904e+00
1.036684210823763976e+02,1.535364449610185034e+00
1.036695559786980994e+02,0.000000000000000000e+00
1.006352567476221509e+02,0.000000000000000000e+00
9.722097284373273851e+01,1.530598685168442330e+00
9.987657882820911937e+01,0.000000000000000000e+00
9.457441786296038799e+01,0.000000000000000000e+00
1.058175704952576552e+02,1.536953037749853479e+00
1.067064461527960617e+02,0.000000000000000000e+00
1.101158693210201136e+02,1.540130214041980139e+00
1.101131178056400586e+02,5.262566190207664363e+00
1.122622672185212593e+02,5.264154778353017150e+00
1.074528333936378033e+02,0.000000000000000000e+00
1.133354661672718464e+02,7.126167060509246198e+00
1.101103662902600036e+02,8.985002166362662024e+00
1.101076147748799485e+02,1.270743814254187498e+01
1.122567641877611777e+02,1.270902673068722777e+01
1.133327146518918198e+02,1.084860303667635151e+01
1.165550630135236361e+02,1.271220390697793334e+01
1.197801628905355074e+02,1.085336880111240987e+01
1.187069639417848919e+02,8.991356518956209243e+00
1.230052627675473218e+02,8.994533695246886396e+00
1.262276111291791381e+02,1.085813456554849665e+01
1.273035615933097802e+02,8.997710871537591970e+00
1.208533618392860944e+02,1.271538108326863892e+01
1.230025112521673236e+02,1.271696967140114509e+01
1.229997597367872686e+02,1.643940564758109701e+01
1.262221080984191133e+02,1.830300651788265043e+01
1.272980585625497270e+02,1.644258282387180259e+01
1.358919046986945887e+02,2.017137315262031905e+01
1.380410541115758178e+02,2.017296174076567183e+01
1.391142530603264049e+02,2.203497402292190088e+01
